ul_inner_mm,ul_middle_mm,ul_outer_mm,uphi_inner_deg,uphi_middle_deg,uphi_outer_deg,legacy_tip_x_mm,legacy_tip_y_mm,legacy_tip_z_mm,sectioned_tip_x_mm,sectioned_tip_y_mm,sectioned_tip_z_mm,tip_difference_mm
315.97187347519724,109.35200880017356,61.91648388447707,71.05249046137101,-146.09615476044618,171.22404658923213,-110.0596352622055,-117.04697197829594,263.2930284189913,-62.38998779814804,47.913814549315745,299.3721414151466,175.4598494691738
172.70864511731733,146.65772797121002,60.89117615922824,-17.86106235759583,-46.51271127627076,153.63539598549664,40.00020056536739,13.860432968212272,156.18447258162794,81.44066117656746,-58.141720344299934,119.35240145728802,90.87476723830092
238.12563251864927,148.9988834683835,51.50920960645317,-98.19406015748032,19.65052332570053,-157.0257878024969,75.8773968089033,-119.7231371942822,157.03888089501967,62.72652027046993,-137.95680794131414,148.90053193021288,23.909099240942915
297.20763988824706,131.7706298540468,66.21049375940656,-52.370651473247385,169.4512887821652,141.52360367599118,-30.28901444531997,-220.0461141539361,161.04370986874997,-107.46017659934664,-85.26164209830935,244.5172108255366,176.32375772283143
207.7419485853808,83.23897545403682,62.27067976590095,-164.23064431659765,-124.45578285568276,65.89762316728367,24.775054273457243,-12.592358892036694,205.10963689766712,24.775054273457233,-12.592358892036698,205.10963689766712,1.1234667099445444e-14
226.2299334429112,166.41245625128127,59.58097247262537,-46.6345058274472,-10.959907940709147,-111.79031072965716,-62.5805871981792,-104.45072573882102,156.5356402492502,-21.546273072422625,-107.39775485675484,172.70118257029264,44.20208903351322
146.15084941291963,86.31921387638464,10.393720426837731,61.13303808570373,-22.625309205960935,119.76415058082148,-19.97952126679168,71.35775422193848,117.53372785612363,-19.97952126679169,71.35775422193848,117.53372785612363,1.0658141036401503e-14
306.66002227982005,91.6243805559673,56.02120816017993,109.71516869884869,-40.5077835491372,-76.20188258511212,-140.49316207181795,-10.09260149719041,267.87278789325524,130.9752261315284,-19.34975845846059,272.16549056486195,271.6600965268089
126.55606519587931,70.72712719296548,54.599640317998045,-177.349582889638,103.29277590076984,59.34630837313157,68.18987784964258,16.932704358766614,99.45729193957256,68.18987784964256,16.932704358766607,99.45729193957256,2.929642751054232e-14
239.12844382674848,145.0937189426271,56.41323029010681,24.746830543041742,-129.67308067404332,-138.76917352704956,-78.74600099014617,29.75621265607463,206.07146610458503,37.79013392797971,-137.27310370087824,162.33194243092709,208.30892730635708
244.94714132847568,108.36802402962432,53.47223694323773,95.39958866976922,48.49859520021269,19.288584236878496,29.16898958776058,184.32172378349307,130.59119737864913,-134.44360661806982,87.45350865384913,163.5557644933811,192.97459787411594
91.04460859587591,82.81040382260647,44.736572859633085,-22.781739876349548,-102.74951778496948,-32.929688259130984,-16.268644829785252,14.477663077676423,87.43477406821228,-16.268644829785252,14.477663077676423,87.43477406821228,0.0
107.10838811731293,92.0703843628607,68.2722458614533,-78.70179887208126,-74.30624720399389,58.28994530168222,10.1709054445148,22.879262219809068,103.34870700610124,-14.9827289029289,-17.572120651563925,103.80739355014563,47.63643658416312
